,index,highest charting position,number of times charted,song name,streams,artist,artist followers,genre,release date,weeks charted,danceability,energy,loudness,speechiness,acousticness,liveness,tempo,valence,chord,popularity
1327,1328,120,5,Liberdade Provisória - Ao Vivo,"4,730,891",Henrique & Juliano,13312073.0,"['sertanejo pop', 'sertanejo universitario']",2020-01-31 00:00:00,"2020-03-13--2020-03-20
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07",0.668,0.684,-5.937,0.0527,0.627,0.923,108.138,0.7,C#/Db,58.0
1328,1329,60,1,POP,"10,484,727",Lil Uzi Vert,11821805.0,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-06 00:00:00,2020-03-06--2020-03-13,0.741,0.599,-6.672,0.419,0.00961,0.785,139.891,0.276,C#/Db,58.0
1329,1330,61,1,Celebration Station,"10,396,969",Lil Uzi Vert,11821805.0,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-06 00:00:00,2020-03-06--2020-03-13,0.748,0.771,-4.156,0.15,0.101,0.135,142.086,0.792,F#/Gb,61.0
1330,1331,64,1,Bigger Than Life,"9,974,143",Lil Uzi Vert,11821805.0,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-06 00:00:00,2020-03-06--2020-03-13,0.776,0.752,-4.711,0.193,0.325,0.33,140.013,0.716,G#/Ab,62.0
1331,1332,68,1,Venetia,"9,824,605",Lil Uzi Vert,11821805.0,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-06 00:00:00,2020-03-06--2020-03-13,0.775,0.757,-4.139,0.175,0.162,0.148,142.933,0.562,A,63.0
1332,1333,73,1,You Better Move,"9,533,898",Lil Uzi Vert,11821805.0,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-06 00:00:00,2020-03-06--2020-03-13,0.842,0.556,-6.793,0.442,0.159,0.204,118.836,0.306,G#/Ab,60.0
1333,1334,93,1,Chrome Heart Tags,"8,219,307",Lil Uzi Vert,11821805.0,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-06 00:00:00,2020-03-06--2020-03-13,0.702,0.768,-4.055,0.0669,0.541,0.105,70.056,0.574,C,57.0
1334,1335,102,1,Bust Me,"7,828,045",Lil Uzi Vert,11821805.0,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-06 00:00:00,2020-03-06--2020-03-13,0.734,0.703,-6.256,0.355,0.237,0.413,151.923,0.608,B,57.0
1335,1336,46,2,René,"7,240,117",Residente,878491.0,['venezuelan hip hop'],2020-02-27 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06",0.486,0.388,-9.326,0.126,0.435,0.196,90.471,0.467,C,65.0
1336,1337,122,1,Secure The Bag,"7,053,947",Lil Uzi Vert,11821805.0,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-06 00:00:00,2020-03-06--2020-03-13,0.803,0.719,-4.485,0.392,0.344,0.425,129.945,0.549,C,57.0
1337,1338,140,1,Urgency (feat. Syd),"6,224,412",Lil Uzi Vert,11821805.0,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-06 00:00:00,2020-03-06--2020-03-13,0.619,0.784,-6.11,0.123,0.0326,0.315,156.035,0.471,C#/Db,53.0
1338,1339,34,3,ON (Feat. Sia),"6,219,276",BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-02-21 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28",0.591,0.848,-4.397,0.0828,0.137,0.372,105.922,0.386,A,64.0
1339,1340,99,2,P FKN R,"6,041,127","Bad Bunny, Kendo Kaponi, Arcangel",36177712.0,"['latin', 'reggaeton', 'trap latino']",2020-02-29 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06",0.82,0.635,-5.749,0.0772,0.409,0.244,101.024,0.528,F,66.0
1340,1341,108,3,Modern Loneliness,"6,020,508",Lauv,4442273.0,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2020-03-06 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28",0.702,0.508,-7.105,0.035,0.144,0.108,82.008,0.143,G#/Ab,68.0
1341,1342,65,2,Heatin Up (feat. Gunna),"6,004,839",Lil Baby,7816213.0,"['atl hip hop', 'atl trap', 'rap', 'trap']",2020-02-28 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06",0.788,0.436,-9.435,0.364,0.0611,0.0979,129.847,0.341,C#/Db,66.0
1342,1343,159,1,SKYBOX,"5,846,484",Gunna,3337982.0,"['atl hip hop', 'hip hop', 'melodic rap', 'rap', 'trap']",2020-03-06 00:00:00,2020-03-06--2020-03-13,0.779,0.707,-6.527,0.16,0.0991,0.0934,140.894,0.343,C#/Db,59.0
1343,1344,167,1,Young & Alive,"5,578,323",Bazzi,4421378.0,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2020-03-05 00:00:00,2020-03-06--2020-03-13,0.716,0.563,-5.486,0.0425,0.326,0.119,86.005,0.495,D#/Eb,71.0
1344,1345,169,2,i'm so tired...,"5,547,770","Lauv, Troye Sivan",4442273.0,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2020-03-06 00:00:00,"2020-03-06--2020-03-13
2020-01-03--2020-01-10",0.599,0.733,-7.058,0.203,0.176,0.242,102.211,0.534,B,77.0
1345,1346,53,4,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)","5,487,069",A Boogie Wit da Hoodie,5865895.0,"['melodic rap', 'pop rap', 'rap', 'trap']",2020-02-14 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21",0.819,0.654,-6.665,0.136,0.517,0.0996,133.503,0.455,B,68.0
1346,1347,105,6,Girl,"5,434,180",Myke Towers,6161098.0,['trap latino'],2020-01-24 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07",0.733,0.708,-4.957,0.0937,0.0325,0.324,93.021,0.694,F#/Gb,72.0
1347,1348,104,2,Puesto Pa' Guerrial,"5,359,969","Bad Bunny, Myke Towers",36177712.0,"['latin', 'reggaeton', 'trap latino']",2020-02-29 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06",0.867,0.686,-5.342,0.221,0.311,0.1,139.968,0.658,E,64.0
1348,1349,114,5,Definitivamente,"5,325,447","Daddy Yankee, Sech",23936368.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",2020-01-31 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14",0.813,0.764,-3.39,0.105,0.586,0.253,100.047,0.429,G#/Ab,66.0
1349,1350,41,11,South of the Border (feat. Camila Cabello & Cardi B),"5,315,827",Ed Sheeran,83337783.0,"['pop', 'uk pop']",2019-07-12 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.857,0.621,-6.376,0.0825,0.148,0.0865,97.989,0.668,A,77.0
1350,1351,190,1,I Fall Apart,"5,251,918",Post Malone,33663701.0,"['dfw rap', 'melodic rap', 'rap']",2016-12-09 00:00:00,2020-03-06--2020-03-13,0.556,0.538,-5.408,0.0382,0.0689,0.196,143.95,0.291,G#/Ab,80.0
1351,1352,191,1,"fuck, i'm lonely (with Anne-Marie)","5,226,991",Lauv,4442273.0,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2020-03-06 00:00:00,2020-03-06--2020-03-13,0.806,0.558,-6.46,0.0683,0.482,0.0618,95.016,0.678,A,74.0
1352,1353,78,11,Aventura,"5,206,102","Lunay, Ozuna, Anuel AA",4963516.0,"['latin', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']",2019-10-25 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.729,0.726,-3.208,0.0422,0.223,0.101,92.025,0.876,F,68.0
1353,1354,12,9,Rare,"5,195,842",Selena Gomez,28931149.0,"['dance pop', 'pop', 'post-teen pop']",2020-01-10 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17",0.838,0.545,-6.713,0.0706,0.208,0.103,114.998,0.631,F,68.0
1354,1355,69,11,VIBEZ,"5,121,486",DaBaby,7601122.0,"['north carolina hip hop', 'rap']",2019-09-27 00:00:00,"2020-03-06--2020-03-13
2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.768,0.652,-2.708,0.307,0.113,0.107,154.187,0.777,C#/Db,75.0
1355,1356,69,7,Mean It,"5,110,064","Lauv, LANY",4442273.0,"['dance pop', 'electropop', 'pop', 'post-teen pop']",2020-03-06 00:00:00,"2020-03-06--2020-03-13
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.746,0.45,-8.543,0.0872,0.0407,0.172,95.998,0.336,G,72.0
1356,1357,49,1,That Way,"12,059,592",Lil Uzi Vert,11821805.0,"['melodic rap', 'philly rap', 'rap', 'trap']",2020-03-01 00:00:00,2020-02-28--2020-03-06,0.719,0.611,-5.01,0.0403,0.0582,0.155,129.962,0.489,G,67.0
1357,1358,106,1,Live Off My Closet (feat. Future),"7,410,327",Lil Baby,7816213.0,"['atl hip hop', 'atl trap', 'rap', 'trap']",2020-02-28 00:00:00,2020-02-28--2020-03-06,0.807,0.678,-3.244,0.177,0.0345,0.0986,147.004,0.21,F#/Gb,59.0
1358,1359,123,1,Commercial (feat. Lil Uzi Vert),"6,540,577",Lil Baby,7816213.0,"['atl hip hop', 'atl trap', 'rap', 'trap']",2020-02-28 00:00:00,2020-02-28--2020-03-06,0.892,0.486,-8.637,0.384,0.048,0.146,120.998,0.535,B,67.0
1359,1360,75,6,Sum 2 Prove,"6,497,610",Lil Baby,7816213.0,"['atl hip hop', 'atl trap', 'rap', 'trap']",2020-01-10 00:00:00,"2020-02-28--2020-03-06
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17",0.823,0.552,-7.57,0.324,0.0174,0.122,124.038,0.418,E,71.0
1360,1361,47,2,Filter,"5,913,946",BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-02-21 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28",0.781,0.762,-5.188,0.0626,0.0222,0.121,110.042,0.86,A#/Bb,79.0
1361,1362,151,1,Matrix,"5,724,739",Apache 207,1674348.0,['german hip hop'],2020-02-24 00:00:00,2020-02-28--2020-03-06,0.789,0.509,-8.766,0.291,0.768,0.272,114.957,0.418,A,55.0
1362,1363,91,10,Bellaquita - Remix,"5,676,621","Dalex, Lenny Tavárez, Anitta, Natti Natasha, Farruko, Justin Quiles",3600989.0,"['latin', 'r&b en espanol', 'reggaeton', 'trap latino']",2019-11-22 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.795,0.715,-3.582,0.0838,0.141,0.179,165.941,0.758,C#/Db,67.0
1363,1364,139,9,Infeliz,"5,490,386","Arcangel, Bad Bunny",6671084.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",2019-12-20 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10",0.713,0.798,-3.147,0.219,0.366,0.246,176.073,0.721,C#/Db,72.0
1364,1365,60,10,Que Tire Pa Lante,"5,436,773",Daddy Yankee,23936368.0,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",2019-10-18 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.658,0.901,-2.814,0.0357,0.0478,0.12,93.979,0.708,G,72.0
1365,1366,32,10,Futsal Shuffle 2020,"5,386,512",Lil Uzi Vert,11821805.0,"['melodic rap', 'philly rap', 'rap', 'trap']",2019-12-12 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.881,0.457,-8.191,0.156,0.0327,0.231,136.97,0.296,G,67.0
1366,1367,123,8,GOODMORNINGTOKYO!,"5,286,044",TOKYO’S REVENGE,313480.0,"['meme rap', 'sad rap', 'vapor trap', 'viral rap']",2019-10-18 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-10--2020-01-17
2020-01-03--2020-01-10",0.907,0.539,-7.782,0.36,0.0408,0.253,124.918,0.664,E,74.0
1367,1368,58,10,Own It (feat. Ed Sheeran & Burna Boy),"5,273,046",Stormzy,2317758.0,"['grime', 'uk hip hop']",2019-12-13 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28
2020-02-14--2020-02-21
2020-02-07--2020-02-14
2020-01-31--2020-02-07
2020-01-24--2020-01-31
2020-01-17--2020-01-24
2020-01-10--2020-01-17
2020-01-03--2020-01-10
2019-12-27--2020-01-03",0.817,0.781,-4.178,0.112,0.00838,0.123,104.0,0.359,G,72.0
1368,1369,128,2,"Life Is Good (feat. Drake, DaBaby & Lil Baby) - Remix","5,260,351",Future,10491105.0,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",2020-02-15 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28",0.81,0.566,-8.33,0.433,0.107,0.122,142.069,0.582,F,61.0
1369,1370,58,2,My Time,"5,212,053",BTS,37151476.0,"['k-pop', 'k-pop boy group']",2020-02-21 00:00:00,"2020-02-28--2020-03-06
2020-02-21--2020-02-28",0.674,0.64,-5.139,0.0339,0.151,0.0925,99.908,0.664,C,74.0
