,energy,danceability,speechiness,acousticness,liveness,valence
509,0.737,0.817,0.102,0.046,0.092,0.67
510,0.529,0.784,0.0742,0.683,0.118,0.246
511,0.705,0.779,0.163,0.00471,0.0971,0.196
512,0.686,0.905,0.0664,0.0907,0.266,0.963
513,0.828,0.798,0.193,0.0247,0.121,0.6
514,0.471,0.585,0.0616,0.0967,0.115,0.323
515,0.797,0.611,0.0533,0.00543,0.26,0.518
516,0.639,0.628,0.0435,0.00162,0.354,0.493
517,0.709,0.47,0.0299,0.00124,0.302,0.247
518,0.708,0.698,0.0454,0.0251,0.124,0.322
519,0.723,0.823,0.229,0.311,0.0998,0.505
520,0.598,0.719,0.077,0.232,0.115,0.303
521,0.656,0.807,0.105,0.0165,0.0693,0.89
522,0.601,0.621,0.148,0.0522,0.46,0.457
523,0.52,0.585,0.0712,0.124,0.131,0.129
524,0.296,0.761,0.0484,0.551,0.134,0.579
525,0.488,0.752,0.0705,0.297,0.0936,0.533
526,0.6,0.883,0.37,0.114,0.0931,0.691
527,0.546,0.806,0.0575,0.3,0.102,0.874
528,0.619,0.744,0.039,0.598,0.231,0.641
529,0.379,0.614,0.0476,0.607,0.0986,0.201
530,0.0,0.0,0.0,0.0,0.0,0.0
531,0.565,0.806,0.113,0.47,0.0824,0.311
532,0.65,0.793,0.397,0.371,0.854,0.809
533,0.637,0.333,0.0581,0.131,0.149,0.132
534,0.457,0.557,0.0335,0.428,0.0567,0.328
535,0.756,0.794,0.136,0.11,0.247,0.775
536,0.61,0.679,0.0305,0.585,0.156,0.554
537,0.674,0.749,0.0366,0.0209,0.169,0.711
538,0.513,0.806,0.0685,0.217,0.217,0.503
539,0.775,0.734,0.0614,0.186,0.123,0.72
540,0.742,0.789,0.0652,0.0681,0.166,0.661
541,0.675,0.798,0.0442,0.0912,0.0894,0.842
542,0.706,0.715,0.195,0.496,0.106,0.522
543,0.655,0.65,0.405,0.25,0.0691,0.735
544,0.788,0.766,0.312,0.105,0.142,0.609
545,0.637,0.848,0.156,0.0413,0.0521,0.698
546,0.816,0.709,0.0346,0.685,0.146,0.921
547,0.537,0.921,0.0804,0.556,0.102,0.711
548,0.445,0.781,0.0295,0.474,0.184,0.591
549,0.454,0.834,0.201,0.321,0.114,0.837
550,0.291,0.659,0.0348,0.405,0.0771,0.406
551,0.774,0.674,0.0892,0.0686,0.393,0.33
552,0.893,0.375,0.0406,0.000509,0.187,0.434
553,0.57,0.734,0.133,0.847,0.112,0.689
554,0.674,0.697,0.0533,0.00215,0.138,0.198
555,0.243,0.343,0.0777,0.721,0.0668,0.032
556,0.844,0.575,0.072,0.00172,0.114,0.277
557,0.769,0.705,0.0425,0.113,0.105,0.583
558,0.563,0.668,0.0522,0.0493,0.119,0.305
559,0.593,0.461,0.0356,0.17,0.307,0.175
560,0.814,0.705,0.0346,0.00115,0.203,0.259
561,0.558,0.859,0.0902,0.659,0.124,0.357
562,0.859,0.15,0.0595,0.00201,0.387,0.354
563,0.665,0.664,0.0879,0.123,0.411,0.726
564,0.561,0.885,0.249,0.261,0.121,0.644
565,0.746,0.537,0.15,0.0236,0.156,0.252
566,0.534,0.487,0.0555,0.36,0.1,0.173
567,0.586,0.553,0.0362,0.697,0.0813,0.443
568,0.437,0.957,0.359,0.00402,0.219,0.616
569,0.525,0.854,0.214,0.819,0.146,0.63
570,0.535,0.807,0.349,0.191,0.125,0.925
571,0.615,0.539,0.252,0.173,0.144,0.493
572,0.659,0.635,0.116,0.242,0.105,0.34
573,0.43,0.376,0.0328,0.0902,0.0912,0.129
574,0.663,0.834,0.133,0.235,0.372,0.774
575,0.657,0.505,0.0318,0.373,0.126,0.252
576,0.715,0.815,0.207,0.3,0.091,0.786
577,0.737,0.817,0.102,0.046,0.092,0.67
578,0.613,0.72,0.0572,0.185,0.155,0.857
579,0.54,0.657,0.0287,0.662,0.123,0.625
580,0.479,0.659,0.2,0.152,0.268,0.0395
581,0.582,0.945,0.0719,0.114,0.103,0.907
582,0.667,0.653,0.0423,0.154,0.107,0.556
583,0.413,0.98,0.101,0.671,0.17,0.764
584,0.683,0.811,0.241,0.46,0.128,0.571
585,0.24,0.462,0.0377,0.92,0.113,0.32
586,0.578,0.755,0.145,0.316,0.25,0.581
587,0.631,0.613,0.12,0.0663,0.169,0.33
588,0.784,0.695,0.0402,0.0889,0.0843,0.52
589,0.726,0.655,0.0796,0.334,0.232,0.766
590,0.502,0.956,0.213,0.0593,0.238,0.795
591,0.69,0.637,0.0405,0.00786,0.124,0.457
592,0.707,0.654,0.0664,0.00559,0.0873,0.448
593,0.806,0.728,0.0623,0.0531,0.153,0.698
594,0.479,0.868,0.445,0.703,0.102,0.776
595,0.537,0.403,0.031,0.59,0.112,0.414
596,0.584,0.532,0.0248,0.723,0.101,0.367
597,0.786,0.466,0.0328,0.417,0.125,0.571
598,0.411,0.584,0.0838,0.869,0.0955,0.412
599,0.697,0.665,0.154,0.427,0.599,0.556
600,0.618,0.49,0.104,0.0221,0.259,0.286
601,0.869,0.62,0.0462,0.615,0.131,0.597
602,0.664,0.633,0.0294,0.46,0.108,0.268
603,0.937,0.582,0.0858,0.449,0.684,0.939
604,0.701,0.79,0.365,0.0317,0.0311,0.91
605,0.633,0.63,0.0457,0.00776,0.0541,0.452
606,0.693,0.868,0.181,0.0597,0.106,0.396
607,0.79,0.599,0.386,0.0213,0.0778,0.528
608,0.613,0.546,0.0264,0.418,0.103,0.535
609,0.525,0.878,0.0578,0.183,0.0714,0.694
610,0.707,0.934,0.0646,0.437,0.0628,0.961
611,0.792,0.687,0.0452,0.191,0.167,0.671
612,0.865,0.563,0.16,0.0472,0.77,0.601
613,0.836,0.843,0.0695,0.0816,0.0532,0.65
614,0.914,0.599,0.0629,0.5,0.694,0.831
615,0.556,0.712,0.0531,0.084,0.527,0.22
616,0.526,0.598,0.0415,0.129,0.14,0.529
617,0.88,0.657,0.102,0.121,0.463,0.769
618,0.937,0.614,0.115,0.00161,0.103,0.386
619,0.627,0.336,0.0384,0.164,0.0708,0.35
620,0.478,0.735,0.0293,0.189,0.355,0.947
621,0.621,0.525,0.116,0.0489,0.294,0.591
622,0.472,0.589,0.0502,0.614,0.505,0.898
623,0.424,0.754,0.0363,0.643,0.0652,0.806
624,0.214,0.339,0.0375,0.908,0.341,0.363
625,0.598,0.24,0.0369,0.766,0.117,0.776
626,0.812,0.509,0.0537,0.00128,0.214,0.689
627,0.831,0.513,0.0383,0.55,0.336,0.963
628,0.24,0.451,0.0351,0.912,0.175,0.701
629,0.259,0.652,0.0595,0.903,0.362,0.836
630,0.56,0.657,0.0467,0.498,0.0794,0.854
631,0.772,0.529,0.0287,0.403,0.316,0.853
632,0.642,0.599,0.0363,0.164,0.0992,0.349
633,0.511,0.774,0.0319,0.322,0.0672,0.771
634,0.465,0.647,0.0428,0.865,0.0882,0.699
635,0.64,0.321,0.0324,0.28,0.718,0.414
636,0.0,0.0,0.0,0.0,0.0,0.0
637,0.21,0.319,0.0341,0.92,0.138,0.209
638,0.158,0.317,0.0381,0.673,0.338,0.247
639,0.661,0.885,0.141,0.165,0.334,0.436
640,0.375,0.683,0.0303,0.579,0.076,0.888
641,0.551,0.271,0.0457,0.582,0.256,0.428
642,0.904,0.534,0.0369,0.129,0.128,0.96
643,0.27,0.465,0.0425,0.9,0.145,0.58
644,0.876,0.647,0.185,0.881,0.26,0.949
645,0.776,0.691,0.0341,0.458,0.33,0.961
646,0.391,0.685,0.0435,0.744,0.142,0.443
647,0.276,0.724,0.0599,0.76,0.116,0.718
648,0.759,0.325,0.053,0.395,0.0773,0.36
649,0.925,0.526,0.0363,0.102,0.305,0.819
650,0.589,0.619,0.124,0.43,0.378,0.158
651,0.953,0.632,0.0325,0.317,0.125,0.798
652,0.62,0.752,0.0509,0.309,0.075,0.962
653,0.841,0.666,0.0312,0.613,0.113,0.84
654,0.0,0.0,0.0,0.0,0.0,0.0
655,0.496,0.295,0.0327,0.207,0.858,0.224
656,0.178,0.438,0.0414,0.957,0.316,0.344
657,0.814,0.547,0.12,0.0215,0.0475,0.724
658,0.843,0.669,0.0268,0.169,0.195,0.702
659,0.572,0.583,0.0366,0.738,0.266,0.684
660,0.571,0.725,0.102,0.0183,0.0519,0.61
661,0.596,0.654,0.0458,0.424,0.11,0.382
662,0.87,0.635,0.04,0.0156,0.118,0.912
663,0.869,0.835,0.27,0.248,0.462,0.82
664,0.305,0.59,0.032,0.894,0.14,0.545
665,0.389,0.594,0.0517,0.785,0.0313,0.396
666,0.476,0.553,0.0649,0.647,0.281,0.558
667,0.434,0.575,0.0312,0.735,0.105,0.348
668,0.712,0.583,0.0538,0.263,0.817,0.614
669,0.139,0.7,0.0607,0.902,0.185,0.49
670,0.106,0.418,0.0448,0.994,0.179,0.8
671,0.462,0.512,0.0408,0.83,0.121,0.353
672,0.7,0.545,0.0323,0.0982,0.1,0.799
673,0.181,0.341,0.0366,0.888,0.137,0.212
674,0.196,0.469,0.0571,0.882,0.0513,0.537
675,0.668,0.357,0.0479,0.362,0.727,0.407
676,0.813,0.638,0.0362,0.464,0.344,0.754
677,0.553,0.602,0.0328,0.108,0.0512,0.971
678,0.771,0.619,0.0601,0.0318,0.114,0.704
679,0.37,0.542,0.0257,0.318,0.108,0.289
680,0.201,0.478,0.0332,0.919,0.0854,0.857
681,0.103,0.607,0.0404,0.804,0.076,0.341
682,0.339,0.512,0.0498,0.727,0.0977,0.951
683,0.938,0.648,0.115,0.0339,0.0564,0.849
684,0.246,0.566,0.0276,0.813,0.195,0.412
685,0.378,0.364,0.0331,0.47,0.339,0.366
686,0.645,0.634,0.0376,0.292,0.246,0.677
687,0.497,0.604,0.0319,0.727,0.102,0.72
688,0.68,0.598,0.0331,0.06,0.324,0.437
689,0.608,0.774,0.128,0.128,0.0895,0.56
690,0.939,0.643,0.0463,0.104,0.881,0.756
691,0.361,0.316,0.0488,0.878,0.0797,0.221
692,0.289,0.612,0.0421,0.599,0.0561,0.466
693,0.444,0.485,0.195,0.373,0.0969,0.777
694,0.334,0.559,0.0376,0.87,0.114,0.211
695,0.545,0.515,0.0353,0.855,0.0921,0.535
696,0.488,0.605,0.0264,0.696,0.129,0.354
697,0.537,0.537,0.0617,0.819,0.142,0.292
698,0.27,0.39,0.0308,0.937,0.111,0.32
699,0.73,0.546,0.0417,0.66,0.0972,0.573
700,0.517,0.604,0.0347,0.768,0.123,0.511
701,0.561,0.535,0.0484,0.876,0.115,0.287
702,0.704,0.689,0.245,0.835,0.134,0.92
703,0.724,0.39,0.0889,0.162,0.393,0.312
704,0.758,0.646,0.0708,0.556,0.335,0.0642
705,0.727,0.589,0.0866,0.239,0.164,0.52
706,0.621,0.64,0.0679,0.67,0.36,0.332
707,0.61,0.786,0.0558,0.379,0.0765,0.228
708,0.647,0.636,0.0381,0.247,0.113,0.416
709,0.581,0.625,0.0316,0.553,0.254,0.267
710,0.881,0.688,0.0474,0.0947,0.0804,0.677
711,0.513,0.331,0.632,0.972,0.882,0.42
712,0.459,0.464,0.0314,0.365,0.117,0.0786
713,0.581,0.613,0.0424,0.537,0.25,0.551
714,0.703,0.703,0.133,0.605,0.12,0.697
715,0.885,0.592,0.0807,0.0505,0.0843,0.731
716,0.694,0.49,0.0618,0.0133,0.0946,0.249
717,0.723,0.904,0.26,0.0631,0.185,0.835
718,0.597,0.763,0.0416,0.158,0.111,0.194
719,0.606,0.887,0.324,0.000407,0.151,0.272
720,0.642,0.672,0.0313,0.0981,0.1,0.494
721,0.605,0.547,0.0415,0.42,0.125,0.364
722,0.621,0.738,0.0486,0.424,0.692,0.715
723,0.829,0.607,0.379,0.0103,0.107,0.685
724,0.727,0.643,0.0389,0.0439,0.123,0.295
725,0.74,0.487,0.0944,0.157,0.612,0.522
726,0.798,0.668,0.0334,0.00305,0.277,0.575
727,0.745,0.721,0.0366,0.151,0.372,0.699
728,0.725,0.86,0.249,0.0464,0.0994,0.375
729,0.861,0.762,0.0652,0.139,0.0956,0.588
730,0.522,0.716,0.0582,0.166,0.113,0.224
731,0.549,0.693,0.0577,0.505,0.324,0.473
732,0.561,0.612,0.0851,0.0601,0.145,0.393
733,0.656,0.636,0.0676,0.451,0.287,0.439
734,0.412,0.43,0.0281,0.2,0.324,0.0508
735,0.511,0.774,0.0319,0.322,0.0672,0.771
736,0.526,0.764,0.212,0.0484,0.0718,0.588
737,0.669,0.787,0.0428,0.00782,0.123,0.57
738,0.845,0.731,0.132,0.0132,0.0782,0.484
739,0.693,0.582,0.0465,0.114,0.13,0.341
740,0.908,0.58,0.0341,0.000335,0.087,0.427
741,0.523,0.764,0.0406,0.777,0.352,0.962
742,0.756,0.551,0.0652,0.0511,0.0765,0.618
743,0.606,0.807,0.088,0.0946,0.119,0.304
744,0.321,0.703,0.884,0.864,0.908,0.544
745,0.882,0.755,0.0532,0.125,0.103,0.606
746,0.705,0.779,0.0344,0.369,0.124,0.946
747,0.667,0.839,0.031,0.322,0.244,0.878
748,0.673,0.723,0.137,0.0985,0.323,0.302
749,0.483,0.88,0.0505,0.0185,0.0607,0.827
750,0.0,0.0,0.0,0.0,0.0,0.0
751,0.681,0.846,0.174,0.0461,0.112,0.809
752,0.682,0.791,0.158,0.175,0.0926,0.672
753,0.426,0.762,0.113,0.0442,0.0858,0.582
754,0.685,0.694,0.133,0.224,0.124,0.306
755,0.556,0.701,0.0414,0.00886,0.106,0.333
756,0.598,0.758,0.0868,0.16,0.295,0.658
757,0.512,0.574,0.0503,0.234,0.0946,0.512
758,0.708,0.848,0.0366,0.153,0.0948,0.926
759,0.626,0.819,0.202,0.00748,0.167,0.415
760,0.683,0.682,0.0287,0.156,0.273,0.64
761,0.63,0.654,0.0259,0.153,0.111,0.43
762,0.433,0.762,0.187,0.143,0.118,0.394
763,0.782,0.793,0.0582,0.447,0.124,0.81
764,0.431,0.728,0.0622,0.749,0.0996,0.629
765,0.658,0.752,0.342,0.0421,0.0927,0.387
766,0.626,0.727,0.0726,0.0469,0.126,0.322
767,0.787,0.66,0.032,0.00257,0.323,0.199
768,0.666,0.763,0.194,0.153,0.301,0.587
769,0.574,0.758,0.217,0.216,0.144,0.706
770,0.563,0.866,0.108,0.185,0.0889,0.307
771,0.522,0.411,0.0981,0.519,0.398,0.382
772,0.51,0.782,0.0419,0.143,0.115,0.118
773,0.824,0.448,0.057,0.0739,0.113,0.419
774,0.611,0.746,0.101,0.454,0.133,0.411
775,0.532,0.94,0.358,0.12,0.0925,0.599
776,0.97,0.808,0.0506,0.0569,0.154,0.868
777,0.343,0.695,0.0432,0.0743,0.107,0.229
778,0.607,0.719,0.165,0.08,0.125,0.464
779,0.63,0.316,0.117,0.471,0.205,0.313
780,0.765,0.691,0.111,0.464,0.203,0.855
781,0.235,0.498,0.188,0.72,0.144,0.0895
782,0.341,0.928,0.103,0.0614,0.162,0.745
783,0.65,0.487,0.0253,0.191,0.0933,0.456
784,0.0,0.0,0.0,0.0,0.0,0.0
785,0.479,0.515,0.0261,0.544,0.191,0.284
786,0.819,0.838,0.211,0.285,0.224,0.656
787,0.285,0.456,0.0979,0.814,0.307,0.0809
788,0.808,0.684,0.061,0.0518,0.0858,0.712
789,0.599,0.552,0.0404,0.0703,0.0986,0.0916
790,0.462,0.499,0.0312,0.801,0.0946,0.599
791,0.506,0.772,0.139,0.0814,0.182,0.456
792,0.642,0.779,0.116,0.0383,0.2,0.388
793,0.716,0.752,0.0325,0.254,0.243,0.553
794,0.741,0.764,0.101,0.239,0.107,0.802
795,0.796,0.754,0.139,0.062,0.204,0.62
796,0.667,0.647,0.304,0.231,0.133,0.704
797,0.647,0.688,0.19,0.00815,0.095,0.195
798,0.526,0.686,0.0374,0.0815,0.144,0.372
799,0.672,0.624,0.106,0.0967,0.155,0.26
800,0.648,0.64,0.187,0.124,0.0802,0.548
801,0.851,0.611,0.0598,0.229,0.232,0.823
802,0.692,0.629,0.0376,0.00981,0.603,0.453
803,0.595,0.652,0.117,0.15,0.0836,0.421
804,0.516,0.739,0.0539,0.67,0.151,0.434
805,0.573,0.688,0.208,0.0686,0.0749,0.553
806,0.455,0.688,0.199,0.186,0.0794,0.557
807,0.887,0.764,0.0744,0.0816,0.847,0.72
808,0.52,0.741,0.0656,0.45,0.222,0.347
809,0.624,0.658,0.0915,0.171,0.116,0.314
810,0.726,0.666,0.0262,0.486,0.0892,0.468
811,0.913,0.574,0.133,0.061,0.156,0.423
812,0.604,0.91,0.082,0.448,0.0863,0.807
813,0.638,0.868,0.0736,0.146,0.0931,0.459
814,0.771,0.793,0.0959,0.0337,0.284,0.835
815,0.699,0.835,0.277,0.00671,0.195,0.547
816,0.662,0.653,0.162,0.00465,0.0626,0.674
817,0.675,0.724,0.0867,0.0978,0.351,0.325
818,0.653,0.717,0.0658,0.229,0.101,0.412
819,0.635,0.894,0.0473,0.193,0.0823,0.428
820,0.657,0.703,0.0783,0.139,0.093,0.455
821,0.837,0.743,0.0649,0.0172,0.0743,0.263
822,0.537,0.716,0.0514,0.233,0.157,0.28
823,0.678,0.696,0.0735,0.582,0.134,0.346
824,0.545,0.479,0.0688,0.365,0.0963,0.243
825,0.729,0.68,0.0475,0.612,0.224,0.446
826,0.586,0.58,0.0357,0.344,0.0755,0.507
827,0.319,0.556,0.0281,0.893,0.0996,0.294
828,0.463,0.732,0.0287,0.374,0.194,0.397
829,0.685,0.885,0.0627,0.33,0.148,0.937
830,0.64,0.686,0.159,0.0334,0.0801,0.597
831,0.865,0.569,0.266,0.0673,0.312,0.361
832,0.939,0.901,0.274,0.117,0.0643,0.805
833,0.633,0.804,0.0612,0.0371,0.102,0.67
834,0.867,0.737,0.0458,0.0398,0.32,0.506
835,0.509,0.776,0.467,0.192,0.115,0.485
836,0.492,0.483,0.295,0.603,0.323,0.66
837,0.758,0.86,0.0695,0.021,0.344,0.453
838,0.249,0.303,0.111,0.97,0.117,0.131
839,0.458,0.825,0.0577,0.114,0.102,0.161
840,0.631,0.824,0.0809,0.237,0.0531,0.678
841,0.186,0.708,0.042,0.868,0.0779,0.322
842,0.308,0.736,0.0677,0.946,0.186,0.361
843,0.434,0.535,0.0505,0.405,0.253,0.271
844,0.631,0.863,0.0534,0.305,0.123,0.817
845,0.733,0.847,0.16,0.00574,0.151,0.202
846,0.418,0.637,0.301,0.353,0.131,0.0807
847,0.875,0.654,0.0744,0.000417,0.194,0.522
848,0.568,0.799,0.25,0.387,0.0892,0.963
849,0.737,0.793,0.0785,0.0765,0.0747,0.697
850,0.454,0.696,0.153,0.123,0.155,0.136
851,0.733,0.825,0.0969,0.349,0.112,0.62
852,0.793,0.635,0.0322,0.000647,0.113,0.281
853,0.706,0.774,0.355,0.00163,0.104,0.382
854,0.582,0.714,0.0808,0.0129,0.0774,0.338
855,0.532,0.831,0.301,0.0652,0.464,0.364
856,0.671,0.821,0.18,0.00843,0.0972,0.494
857,0.709,0.697,0.298,0.041,0.0886,0.439
858,0.549,0.832,0.0602,0.168,0.11,0.384
859,0.818,0.785,0.099,0.624,0.149,0.0503
860,0.703,0.823,0.298,0.0161,0.294,0.26
861,0.683,0.839,0.165,0.00667,0.241,0.522
862,0.399,0.63,0.178,0.105,0.234,0.0657
863,0.635,0.849,0.254,0.000608,0.062,0.798
864,0.631,0.482,0.0986,0.696,0.209,0.0743
865,0.373,0.48,0.0278,0.804,0.12,0.0376
866,0.749,0.528,0.0479,0.00488,0.0949,0.729
867,0.617,0.616,0.52,0.128,0.177,0.476
868,0.858,0.533,0.0766,0.00021,0.148,0.506
869,0.533,0.738,0.0492,0.183,0.115,0.262
870,0.613,0.781,0.0524,0.0399,0.0976,0.613
871,0.65,0.552,0.128,0.422,0.372,0.316
872,0.415,0.74,0.0707,0.242,0.319,0.156
873,0.696,0.954,0.204,0.00576,0.0754,0.432
874,0.776,0.656,0.0672,0.16,0.372,0.638
875,0.547,0.668,0.0353,0.398,0.0931,0.192
876,0.0,0.0,0.0,0.0,0.0,0.0
877,0.884,0.612,0.0454,0.0759,0.247,0.679
878,0.65,0.701,0.104,0.291,0.112,0.647
879,0.77,0.691,0.0367,0.0282,0.497,0.344
880,0.579,0.801,0.0813,0.333,0.172,0.231
881,0.723,0.904,0.26,0.0631,0.185,0.835
882,0.531,0.716,0.122,0.0703,0.224,0.344
883,0.517,0.761,0.0927,0.114,0.157,0.46
884,0.832,0.697,0.0298,0.168,0.269,0.979
885,0.768,0.848,0.0373,0.0412,0.195,0.777
886,0.479,0.783,0.541,0.149,0.101,0.533
887,0.656,0.745,0.203,0.0604,0.11,0.405
888,0.39,0.521,0.128,0.582,0.112,0.157
889,0.38,0.298,0.0287,0.778,0.11,0.152
890,0.625,0.706,0.0314,0.0417,0.129,0.225
891,0.622,0.747,0.0838,0.176,0.151,0.57
892,0.586,0.664,0.238,0.212,0.216,0.589
893,0.449,0.735,0.347,0.629,0.113,0.0397
894,0.688,0.611,0.341,0.0264,0.251,0.393
895,0.844,0.647,0.0457,0.0137,0.102,0.746
896,0.773,0.681,0.148,0.019,0.11,0.429
897,0.641,0.648,0.0389,0.00565,0.109,0.505
898,0.706,0.72,0.0473,0.0684,0.166,0.62
899,0.636,0.759,0.0369,0.0224,0.166,0.536
900,0.516,0.679,0.0452,0.199,0.0965,0.716
901,0.567,0.485,0.0388,0.316,0.0949,0.157
902,0.727,0.629,0.0499,0.0647,0.138,0.132
903,0.468,0.817,0.287,0.233,0.0905,0.237
904,0.678,0.861,0.0536,0.253,0.106,0.723
905,0.542,0.926,0.293,0.135,0.0877,0.564
906,0.814,0.774,0.0584,0.204,0.118,0.254
907,0.545,0.459,0.0282,0.142,0.105,0.194
908,0.955,0.707,0.222,0.127,0.202,0.575
909,0.569,0.767,0.216,0.00988,0.109,0.524
910,0.7,0.682,0.0397,0.406,0.174,0.637
911,0.743,0.822,0.28,0.016,0.127,0.636
912,0.82,0.676,0.0554,0.0493,0.615,0.618
913,0.63,0.948,0.219,0.00647,0.0737,0.425
914,0.911,0.776,0.131,0.155,0.268,0.56
915,0.443,0.433,0.0361,0.0922,0.117,0.0363
916,0.39,0.565,0.0556,0.817,0.126,0.708
917,0.799,0.581,0.164,0.0419,0.11,0.662
918,0.857,0.676,0.0438,0.0215,0.254,0.717
919,0.71,0.935,0.158,0.0769,0.173,0.635
920,0.525,0.676,0.028,0.617,0.356,0.421
921,0.357,0.777,0.0522,0.757,0.108,0.172
922,0.716,0.721,0.0657,0.0334,0.237,0.667
923,0.607,0.88,0.0777,0.195,0.15,0.823
924,0.664,0.75,0.154,0.275,0.0632,0.617
925,0.794,0.676,0.0366,0.0513,0.0723,0.161
926,0.854,0.824,0.177,0.016,0.117,0.896
927,0.603,0.653,0.171,0.175,0.18,0.551
928,0.591,0.802,0.225,0.0104,0.196,0.309
929,0.58,0.763,0.144,0.0466,0.154,0.608
930,0.796,0.694,0.0565,0.48,0.108,0.515
931,0.87,0.752,0.0623,0.0604,0.489,0.784
932,0.443,0.874,0.241,0.147,0.124,0.298
933,0.631,0.474,0.343,0.0687,0.132,0.425
934,0.863,0.889,0.0757,0.289,0.0798,0.776
935,0.66,0.799,0.079,0.256,0.111,0.471
936,0.644,0.744,0.0641,0.229,0.204,0.577
937,0.817,0.583,0.0987,0.118,0.338,0.438
938,0.474,0.691,0.0583,0.569,0.099,0.381
939,0.446,0.63,0.0351,0.337,0.166,0.177
940,0.549,0.843,0.164,0.0948,0.155,0.542
941,0.619,0.805,0.0771,0.218,0.114,0.476
942,0.623,0.532,0.0331,0.538,0.0925,0.403
943,0.628,0.666,0.0623,0.144,0.189,0.767
944,0.545,0.809,0.0735,0.392,0.151,0.244
945,0.634,0.723,0.0542,0.0892,0.0787,0.582
946,0.457,0.686,0.0468,0.595,0.105,0.718
947,0.854,0.596,0.463,0.0169,0.124,0.152
948,0.662,0.686,0.0413,0.467,0.109,0.706
949,0.655,0.808,0.139,0.0373,0.208,0.56
950,0.263,0.456,0.0332,0.806,0.0749,0.111
951,0.26,0.904,0.101,0.277,0.121,0.231
952,0.673,0.752,0.153,0.0538,0.133,0.35
953,0.624,0.613,0.206,0.496,0.283,0.804
954,0.826,0.68,0.27,0.562,0.254,0.804
955,0.69,0.627,0.139,0.033,0.0742,0.627
956,0.781,0.849,0.159,0.406,0.0801,0.893
957,0.528,0.899,0.181,0.000554,0.105,0.456
958,0.64,0.813,0.272,0.269,0.131,0.488
959,0.766,0.677,0.0568,0.0219,0.129,0.198
960,0.452,0.653,0.055,0.838,0.108,0.45
961,0.678,0.693,0.0324,0.0151,0.101,0.404
962,0.629,0.827,0.185,0.183,0.084,0.486
963,0.744,0.867,0.227,0.268,0.0713,0.645
964,0.539,0.829,0.208,0.136,0.103,0.388
965,0.413,0.553,0.0334,0.687,0.0594,0.379
966,0.488,0.596,0.0274,0.9,0.091,0.415
967,0.476,0.515,0.0328,0.314,0.171,0.412
968,0.377,0.593,0.0253,0.6,0.0976,0.502
969,0.679,0.709,0.346,0.0115,0.0971,0.754
970,0.31,0.559,0.0338,0.881,0.106,0.46
971,0.716,0.688,0.0385,0.0969,0.0989,0.373
972,0.541,0.841,0.229,0.0186,0.123,0.42
973,0.704,0.79,0.417,0.069,0.113,0.212
974,0.848,0.758,0.0457,0.21,0.114,0.706
975,0.741,0.843,0.334,0.0252,0.096,0.68
976,0.699,0.592,0.0471,0.655,0.114,0.506
977,0.267,0.354,0.0281,0.731,0.0858,0.113
978,0.272,0.647,0.0916,0.918,0.0918,0.339
979,0.676,0.808,0.223,0.0618,0.11,0.0763
980,0.507,0.819,0.0881,0.482,0.105,0.634
981,0.526,0.882,0.237,0.118,0.0835,0.182
982,0.742,0.773,0.162,0.00198,0.558,0.35
983,0.181,0.662,0.0415,0.966,0.133,0.429
984,0.55,0.868,0.226,0.183,0.109,0.464
985,0.553,0.614,0.169,0.0306,0.203,0.161
986,0.857,0.641,0.301,0.013,0.0695,0.961
987,0.909,0.853,0.229,0.0522,0.129,0.803
988,0.637,0.848,0.156,0.0413,0.0521,0.698
989,0.598,0.818,0.113,0.0573,0.634,0.331
990,0.696,0.881,0.0797,0.137,0.0927,0.781
991,0.372,0.358,0.0464,0.81,0.0877,0.16
992,0.663,0.732,0.192,0.0819,0.115,0.227
993,0.764,0.692,0.113,0.574,0.106,0.564
994,0.723,0.6,0.158,0.109,0.167,0.463
995,0.5,0.745,0.135,0.439,0.0943,0.433
996,0.787,0.726,0.0737,0.009,0.0596,0.888
997,0.528,0.824,0.175,0.144,0.104,0.32
998,0.76,0.66,0.0787,0.291,0.632,0.394
999,0.452,0.654,0.0439,0.17,0.114,0.532
1000,0.545,0.567,0.0448,0.168,0.112,0.234
1001,0.327,0.903,0.0877,0.26,0.108,0.274
1002,0.618,0.59,0.334,0.0127,0.244,0.153
1003,0.663,0.6,0.0477,0.225,0.119,0.286
1004,0.786,0.62,0.167,0.143,0.46,0.679
1005,0.375,0.752,0.204,0.533,0.175,0.591
1006,0.665,0.661,0.053,0.538,0.0981,0.486
1007,0.695,0.621,0.0911,0.00584,0.086,0.298
1008,0.67,0.707,0.257,0.0813,0.098,0.235
1009,0.671,0.652,0.0756,0.0222,0.107,0.274
1010,0.528,0.595,0.0935,0.082,0.142,0.515
1011,0.543,0.575,0.0529,0.102,0.176,0.283
1012,0.638,0.288,0.0779,0.133,0.14,0.147
1013,0.642,0.745,0.287,0.0204,0.0658,0.226
1014,0.745,0.801,0.063,0.398,0.153,0.245
1015,0.542,0.874,0.344,0.0621,0.181,0.481
1016,0.848,0.685,0.0858,0.0861,0.0783,0.761
1017,0.422,0.744,0.294,0.0319,0.11,0.493
1018,0.619,0.878,0.102,0.0533,0.113,0.639
1019,0.787,0.88,0.118,0.226,0.12,0.588
1020,0.808,0.786,0.0882,0.0846,0.0822,0.609
1021,0.672,0.654,0.311,0.471,0.0781,0.343
