,energy,danceability,speechiness,acousticness,liveness,valence
115,0.731,0.526,0.0887,0.18,0.0891,0.476
116,0.652,0.825,0.0802,0.581,0.0931,0.931
117,0.54,0.759,0.0287,0.037,0.0945,0.75
118,0.634,0.658,0.0413,0.0106,0.132,0.29
119,0.448,0.599,0.0232,0.163,0.106,0.168
120,0.812,0.818,0.0475,0.112,0.234,0.844
121,0.618,0.856,0.286,0.0303,0.0866,0.391
122,0.69,0.746,0.164,0.247,0.101,0.497
123,0.425,0.357,0.0333,0.584,0.322,0.27
124,0.373,0.667,0.05,0.785,0.0906,0.0823
125,0.835,0.527,0.0433,0.0166,0.249,0.654
126,0.731,0.484,0.0379,0.431,0.151,0.51
127,0.912,0.502,0.0564,2.55e-05,0.106,0.72
128,0.259,0.638,0.0898,0.753,0.219,0.269
129,0.521,0.588,0.0329,0.0678,0.123,0.337
130,0.873,0.682,0.0449,0.402,0.0946,0.964
131,0.859,0.584,0.121,0.0144,0.847,0.369
132,0.327,0.775,0.0557,0.841,0.0821,0.595
133,0.537,0.445,0.04,0.695,0.0941,0.131
134,0.454,0.558,0.0551,0.499,0.146,0.424
135,0.664,0.566,0.0464,0.634,0.116,0.437
136,0.706,0.689,0.0312,0.0833,0.105,0.623
137,0.732,0.774,0.0308,0.108,0.243,0.734
138,0.795,0.868,0.269,0.0012,0.0461,0.819
139,0.788,0.766,0.312,0.105,0.142,0.609
140,0.534,0.39,0.0709,0.0807,0.184,0.244
141,0.402,0.392,0.0536,0.288,0.243,0.228
142,0.617,0.713,0.0887,0.122,0.0962,0.682
143,0.595,0.632,0.0401,0.0689,0.209,0.435
144,0.593,0.841,0.0379,0.418,0.124,0.808
145,0.855,0.734,0.135,0.0821,0.0901,0.54
146,0.815,0.871,0.0477,0.127,0.094,0.823
147,0.385,0.572,0.0308,0.371,0.231,0.323
148,0.717,0.672,0.226,0.103,0.398,0.473
149,0.861,0.631,0.0424,0.427,0.215,0.822
150,0.705,0.664,0.0382,0.0654,0.115,0.477
151,0.661,0.429,0.0281,0.00239,0.234,0.285
152,0.534,0.843,0.142,0.467,0.0984,0.528
153,0.899,0.667,0.0322,0.423,0.332,0.835
154,0.783,0.532,0.0523,0.0038,0.161,0.643
155,0.792,0.65,0.0393,0.607,0.92,0.872
156,0.66,0.808,0.0395,0.0358,0.138,0.804
157,0.548,0.709,0.353,0.65,0.133,0.543
158,0.277,0.521,0.0356,0.634,0.103,0.13
159,0.656,0.933,0.322,0.129,0.161,0.934
160,0.669,0.902,0.457,0.161,0.0728,0.628
161,0.566,0.511,0.2,0.349,0.34,0.218
162,0.393,0.907,0.0539,0.451,0.135,0.202
163,0.0,0.0,0.0,0.0,0.0,0.0
164,0.425,0.701,0.375,0.328,0.1,0.562
165,0.594,0.476,0.135,0.0599,0.0785,0.314
166,0.586,0.823,0.2,0.114,0.193,0.347
167,0.203,0.473,0.102,0.941,0.126,0.419
168,0.454,0.935,0.375,0.0194,0.0824,0.357
169,0.924,0.356,0.0808,0.00101,0.0953,0.232
170,0.452,0.82,0.0348,0.543,0.0714,0.74
171,0.492,0.828,0.0276,0.0644,0.128,0.789
172,0.557,0.358,0.059,0.695,0.0902,0.494
173,0.576,0.74,0.146,0.0249,0.104,0.315
174,0.67,0.716,0.101,0.526,0.13,0.411
175,0.608,0.675,0.103,0.336,0.11,0.728
176,0.431,0.726,0.135,0.731,0.696,0.348
177,0.759,0.595,0.0423,0.141,0.172,0.515
178,0.528,0.933,0.162,0.112,0.163,0.756
179,0.625,0.792,0.0536,0.00776,0.329,0.37
180,0.771,0.676,0.0483,0.0237,0.102,0.569
181,0.25,0.422,0.0351,0.441,0.35,0.246
182,0.76,0.649,0.0574,0.114,0.317,0.843
183,0.625,0.765,0.0548,0.584,0.112,0.262
184,0.264,0.422,0.0322,0.922,0.132,0.331
185,0.534,0.832,0.253,0.345,0.165,0.116
186,0.805,0.548,0.351,0.212,0.408,0.648
187,0.766,0.84,0.136,0.00302,0.0684,0.402
188,0.564,0.585,0.0515,0.0671,0.135,0.137
189,0.655,0.436,0.0583,0.499,0.688,0.412
190,0.878,0.638,0.0484,0.0151,0.308,0.481
191,0.494,0.592,0.0747,0.237,0.13,0.231
192,0.317,0.778,0.334,0.592,0.0881,0.327
193,0.767,0.571,0.287,0.336,0.0809,0.605
194,0.448,0.525,0.0443,0.14,0.0922,0.527
195,0.72,0.789,0.218,0.223,0.129,0.664
196,0.467,0.43,0.051,0.775,0.0933,0.382
197,0.403,0.643,0.41,0.343,0.138,0.111
198,0.502,0.961,0.312,0.28,0.145,0.536
199,0.661,0.949,0.0572,0.0302,0.0454,0.76
200,0.686,0.662,0.332,0.251,0.349,0.678
201,0.672,0.563,0.0765,0.359,0.0972,0.284
202,0.527,0.437,0.465,0.185,0.153,0.701
203,0.581,0.628,0.188,0.46,0.152,0.259
204,0.589,0.912,0.2,0.0332,0.0795,0.486
205,0.684,0.356,0.0878,0.152,0.101,0.347
206,0.623,0.441,0.0414,0.135,0.14,0.285
207,0.667,0.723,0.351,0.256,0.261,0.396
208,0.653,0.493,0.0466,0.269,0.511,0.852
209,0.531,0.787,0.101,0.132,0.112,0.721
210,0.674,0.883,0.357,0.21,0.0678,0.73
211,0.724,0.654,0.355,0.106,0.655,0.717
212,0.517,0.83,0.333,0.399,0.0916,0.616
213,0.844,0.477,0.0458,0.00273,0.137,0.203
214,0.751,0.88,0.0874,0.177,0.106,0.884
215,0.336,0.671,0.241,0.705,0.0577,0.518
216,0.556,0.741,0.0266,0.0629,0.103,0.587
217,0.56,0.626,0.0288,0.148,0.109,0.229
218,0.36,0.601,0.0877,0.586,0.0882,0.335
219,0.707,0.792,0.0623,0.116,0.12,0.408
220,0.732,0.542,0.0521,0.00209,0.496,0.489
221,0.588,0.722,0.0544,0.0319,0.183,0.59
222,0.716,0.566,0.0424,0.00691,0.37,0.45
223,0.71,0.816,0.0398,0.165,0.292,0.784
224,0.544,0.823,0.0715,0.0215,0.0966,0.664
225,0.474,0.784,0.0524,0.333,0.278,0.64
226,0.298,0.443,0.0644,0.388,0.103,0.172
227,0.922,0.624,0.0439,0.3,0.112,0.884
228,0.909,0.688,0.0624,0.0474,0.0674,0.702
229,0.463,0.893,0.36,0.199,0.318,0.591
230,0.889,0.434,0.0509,0.395,0.273,0.845
231,0.674,0.76,0.0636,0.396,0.0977,0.735
232,0.918,0.583,0.0518,0.288,0.0701,0.836
233,0.712,0.807,0.1,0.532,0.163,0.792
234,0.739,0.704,0.112,0.328,0.0856,0.425
235,0.524,0.748,0.0338,0.414,0.111,0.661
236,0.893,0.375,0.0406,0.000509,0.187,0.434
237,0.717,0.652,0.0581,0.0694,0.0906,0.377
238,0.615,0.683,0.0966,0.222,0.154,0.45
239,0.708,0.532,0.0505,0.435,0.107,0.586
240,0.571,0.827,0.366,0.0195,0.166,0.62
241,0.424,0.352,0.0394,0.733,0.0664,0.141
242,0.727,0.477,0.286,0.000866,0.108,0.227
243,0.608,0.647,0.42,0.13,0.0584,0.474
244,0.47,0.735,0.1,0.266,0.32,0.897
245,0.284,0.632,0.0801,0.932,0.233,0.208
246,0.669,0.871,0.329,0.0113,0.0795,0.806
247,0.648,0.719,0.125,0.2,0.127,0.66
248,0.908,0.606,0.0565,0.556,0.19,0.798
249,0.67,0.781,0.0452,0.0103,0.0761,0.595
250,0.795,0.646,0.0976,0.0319,0.267,0.796
251,0.537,0.823,0.209,0.176,0.123,0.615
252,0.736,0.733,0.111,0.028,0.131,0.669
253,0.524,0.783,0.0554,0.241,0.271,0.839
254,0.532,0.548,0.0323,0.186,0.217,0.405
255,0.762,0.386,0.564,0.122,0.527,0.433
256,0.586,0.62,0.212,0.155,0.535,0.487
257,0.75,0.371,0.402,0.601,0.482,0.729
258,0.845,0.703,0.337,0.169,0.122,0.745
259,0.652,0.468,0.0722,0.333,0.55,0.39
260,0.635,0.467,0.154,0.314,0.844,0.51
261,0.855,0.685,0.438,0.329,0.301,0.46
262,0.469,0.665,0.13,0.565,0.219,0.142
263,0.866,0.454,0.391,0.121,0.167,0.518
264,0.655,0.912,0.162,0.315,0.0894,0.793
265,0.712,0.555,0.323,0.0451,0.182,0.555
266,0.814,0.766,0.0733,0.044,0.195,0.481
267,0.862,0.733,0.197,0.374,0.131,0.536
268,0.538,0.927,0.116,0.0312,0.0945,0.221
269,0.707,0.619,0.0499,0.0366,0.13,0.558
270,0.531,0.678,0.0374,0.126,0.377,0.176
271,0.764,0.527,0.322,0.016,0.0273,0.829
272,0.693,0.571,0.0545,0.00536,0.173,0.393
273,0.481,0.767,0.0803,0.234,0.269,0.761
274,0.809,0.813,0.0846,0.102,0.377,0.646
275,0.756,0.725,0.0572,0.362,0.103,0.828
276,0.435,0.783,0.0588,0.282,0.0833,0.512
277,0.802,0.624,0.311,0.0597,0.252,0.818
278,0.656,0.861,0.425,0.104,0.0986,0.331
279,0.587,0.597,0.137,0.0622,0.214,0.0753
280,0.391,0.872,0.242,0.469,0.297,0.437
281,0.645,0.479,0.302,0.135,0.0825,0.381
282,0.586,0.896,0.0559,0.104,0.79,0.642
283,0.893,0.722,0.0475,0.0441,0.0673,0.439
284,0.922,0.641,0.0786,0.0291,0.0862,0.847
285,0.538,0.686,0.0345,0.181,0.113,0.584
286,0.675,0.731,0.0434,0.00473,0.141,0.298
287,0.843,0.637,0.0432,0.0151,0.0876,0.434
288,0.427,0.598,0.0317,0.0546,0.21,0.0605
289,0.729,0.73,0.0884,0.167,0.349,0.467
290,0.518,0.761,0.134,0.244,0.107,0.522
291,0.733,0.66,0.0359,0.248,0.17,0.304
292,0.611,0.585,0.288,0.39,0.649,0.962
293,0.864,0.556,0.0584,0.00958,0.209,0.4
294,0.521,0.692,0.33,0.301,0.0565,0.463
295,0.73,0.834,0.222,0.00513,0.124,0.446
296,0.635,0.617,0.0317,0.0498,0.164,0.446
297,0.695,0.691,0.0367,0.0592,0.0647,0.514
298,0.629,0.847,0.102,0.0318,0.152,0.109
299,0.563,0.752,0.209,0.146,0.103,0.551
300,0.563,0.506,0.411,0.0326,0.0856,0.153
301,0.706,0.766,0.16,0.223,0.064,0.766
