,popularity,energy,danceability,speechiness,acousticness,liveness,valence
0,100.0,0.8,0.714,0.0504,0.127,0.359,0.589
1,99.0,0.764,0.591,0.0483,0.0383,0.103,0.478
2,99.0,0.664,0.563,0.154,0.335,0.0849,0.688
3,98.0,0.897,0.808,0.0348,0.0469,0.364,0.591
4,96.0,0.704,0.736,0.0615,0.0203,0.0501,0.894
5,97.0,0.508,0.61,0.152,0.297,0.384,0.758
6,94.0,0.701,0.762,0.0286,0.235,0.123,0.742
7,95.0,0.718,0.78,0.0506,0.31,0.0932,0.342
8,96.0,0.648,0.644,0.118,0.276,0.135,0.44
9,95.0,0.608,0.75,0.0387,0.00165,0.178,0.958
10,89.0,0.825,0.702,0.0601,0.00883,0.0674,0.915
11,95.0,0.819,0.891,0.106,0.0261,0.173,0.768
12,95.0,0.741,0.702,0.0427,0.00544,0.337,0.646
13,94.0,0.696,0.677,0.119,0.321,0.42,0.464
14,95.0,0.459,0.759,0.0948,0.00323,0.0906,0.695
15,94.0,0.339,0.38,0.0338,0.691,0.12,0.0849
16,93.0,0.612,0.442,0.112,0.584,0.37,0.178
17,94.0,0.825,0.65,0.0325,0.0215,0.0936,0.593
18,93.0,0.655,0.743,0.159,0.114,0.0764,0.785
19,90.0,0.609,0.664,0.0707,0.304,0.0926,0.194
20,91.0,0.688,0.659,0.0673,0.207,0.113,0.632
21,90.0,0.488,0.855,0.208,0.506,0.347,0.619
22,92.0,0.431,0.561,0.0578,0.768,0.106,0.137
23,85.0,0.525,0.761,0.0944,0.44,0.0921,0.531
24,92.0,0.73,0.514,0.0598,0.00146,0.0897,0.334
25,92.0,0.443,0.395,0.133,0.765,0.0839,0.338
26,92.0,0.766,0.762,0.0343,0.00776,0.128,0.442
27,90.0,0.631,0.797,0.0786,0.0904,0.0998,0.288
28,92.0,0.862,0.824,0.126,0.0076,0.303,0.801
29,89.0,0.695,0.778,0.0913,0.175,0.15,0.472
30,92.0,0.616,0.586,0.0324,0.182,0.0927,0.719
31,88.0,0.796,0.666,0.103,0.0492,0.0442,0.61
32,91.0,0.272,0.369,0.0364,0.866,0.147,0.218
33,91.0,0.622,0.715,0.046,0.163,0.0948,0.808
34,90.0,0.816,0.548,0.0465,0.122,0.335,0.557
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,89.0,0.536,0.789,0.242,0.41,0.129,0.437
37,89.0,0.621,0.828,0.0565,0.0164,0.0845,0.436
38,89.0,0.71,0.816,0.0398,0.165,0.292,0.784
39,86.0,0.573,0.731,0.0544,0.401,0.113,0.145
40,90.0,0.541,0.85,0.0674,0.161,0.286,0.916
41,90.0,0.575,0.695,0.116,0.198,0.0614,0.699
42,89.0,0.809,0.813,0.0846,0.102,0.377,0.646
43,89.0,0.765,0.746,0.0993,0.0112,0.0936,0.737
44,90.0,0.62,0.798,0.232,0.414,0.112,0.235
45,89.0,0.784,0.595,0.102,0.216,0.0608,0.479
46,89.0,0.716,0.701,0.0361,0.174,0.324,0.732
47,89.0,0.513,0.729,0.0455,0.494,0.137,0.789
48,89.0,0.711,0.839,0.0473,0.398,0.118,0.573
49,89.0,0.463,0.855,0.0367,0.217,0.347,0.866
50,88.0,0.849,0.627,0.153,0.0913,0.145,0.818
51,88.0,0.522,0.75,0.0293,0.282,0.0743,0.601
52,84.0,0.373,0.765,0.0713,0.341,0.112,0.554
53,49.0,0.839,0.83,0.0699,0.00201,0.0353,0.59
54,89.0,0.738,0.721,0.0403,0.00226,0.118,0.637
55,89.0,0.941,0.345,0.0466,3.84e-05,0.0511,0.407
56,83.0,0.887,0.668,0.0564,0.369,0.257,0.907
57,87.0,0.455,0.54,0.224,0.675,0.12,0.432
58,88.0,0.676,0.713,0.027,0.0377,0.154,0.721
59,88.0,0.72,0.682,0.0381,0.326,0.148,0.673
60,88.0,0.693,0.95,0.0898,0.0133,0.173,0.891
61,88.0,0.784,0.669,0.112,0.194,0.115,0.517
62,89.0,0.526,0.672,0.0599,0.0311,0.28,0.28
63,94.0,0.825,0.65,0.0325,0.0215,0.0936,0.593
64,87.0,0.465,0.449,0.0791,0.524,0.303,0.543
65,0.0,0.793,0.793,0.083,0.0123,0.0951,0.679
66,87.0,0.782,0.708,0.0674,0.00772,0.107,0.484
67,87.0,0.807,0.612,0.0336,0.0495,0.101,0.398
68,87.0,0.77,0.762,0.223,0.138,0.15,0.631
69,86.0,0.405,0.501,0.0319,0.751,0.105,0.446
70,83.0,0.498,0.833,0.117,0.0493,0.119,0.259
